# SandboxID carriers.tsv — multi-region operator database
# Format: NAME\tMCC\tMNC\tISO\tCARRIER_ID
# Lines starting with # are comments. Tabs separate fields.
# CARRIER_ID may be empty; identity lookup falls back to -1 (UNKNOWN).
#
# Indonesia
Telkomsel	510	10	id	787
Indosat Ooredoo	510	21	id	789
XL Axiata	510	11	id	788
Axis	510	08	id	788
Tri	510	89	id
Smartfren	510	09	id
by.U	510	27	id
# United States
T-Mobile	310	260	us	1
AT&T	310	410	us	3
Verizon	311	480	us	4
US Cellular	311	580	us
# India
Jio	405	88	in
Airtel	404	10	in
Vi (Vodafone Idea)	404	11	in
BSNL	404	72	in
# Germany
Vodafone DE	262	02	de
T-Mobile DE	262	01	de
O2 DE	262	07	de
# United Kingdom
EE	234	30	gb
Three UK	234	20	gb
Vodafone UK	234	15	gb
O2 UK	234	10	gb
# Australia
Telstra	505	01	au
Optus	505	02	au
Vodafone AU	505	03	au
# Japan
NTT Docomo	440	10	jp
au (KDDI)	440	50	jp
SoftBank	440	20	jp
Rakuten	440	11	jp
# Brazil
Claro	724	05	br
Vivo	724	06	br
TIM	724	04	br
Oi	724	31	br
# Thailand
AIS	520	01	th
DTAC	520	05	th
TrueMove H	520	04	th
# Malaysia
Maxis	502	12	my
Celcom	502	13	my
Digi	502	16	my
U Mobile	502	18	my
# Philippines
Globe	515	02	ph
Smart	515	03	ph
DITO	515	66	ph
# South Korea
SK Telecom	450	05	kr
KT	450	08	kr
LG U+	450	06	kr
# Singapore
Singtel	525	01	sg
StarHub	525	05	sg
M1	525	03	sg
# Vietnam
Viettel	452	04	vn
MobiFone	452	01	vn
VinaPhone	452	02	vn
